system:index,date,lat,long,vcd,.geo
20210114T224614_20210116T160520,2021-01-14,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T002744_20210116T173950,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T020914_20210116T191951,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T035044_20210116T211358,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T053214_20210116T231039,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T071345_20210117T002636,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T085515_20210117T021147,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T103645_20210117T042954,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T121815_20210117T060746,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T135945_20210117T072527,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T154115_20210117T090308,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T172245_20210117T110440,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T190415_20210117T124817,2021-01-15,34.1326,-118.1272,0.13014097511752437,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T204545_20210117T134822,2021-01-15,34.1326,-118.1272,0.1296195685861911,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115T222716_20210117T153414,2021-01-15,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T000846_20210117T172838,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T015016_20210117T183611,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T033146_20210117T205550,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T051316_20210117T223233,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T065446_20210118T001404,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T083616_20210118T020613,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T101746_20210118T040916,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T115917_20210118T055919,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T134047_20210118T064459,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T152217_20210118T084813,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T170347_20210118T101628,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T184517_20210118T123456,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T202647_20210118T132534,2021-01-16,34.1326,-118.1272,0.12589197129942442,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T220817_20210118T151209,2021-01-16,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116T234947_20210118T165634,2021-01-17,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117T013117_20210118T184212,2021-01-17,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117T031247_20210118T202157,2021-01-17,34.1326,-118.1272,,"{""type"":""MultiPoint"",""coordinates"":[]}"
