system:index,date,lat,long,no2vcd,.geo
20210712T014317_20210713T184613,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T032447_20210713T203253,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T050617_20210713T221056,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T064746_20210714T000827,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T082916_20210714T014551,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T101046_20210714T033123,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T115216_20210714T051540,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T133345_20210714T070459,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T151515_20210714T080508,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T165645_20210714T095426,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T183814_20210714T115554,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T201944_20210714T133044,2021-07-12,34.181977,-118.363036,9.049936746335754E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T220114_20210714T145148,2021-07-12,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210712T234244_20210714T162243,2021-07-13,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T012413_20210714T182643,2021-07-13,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T030543_20210714T201227,2021-07-13,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T044713_20210714T220421,2021-07-13,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T062842_20210714T233807,2021-07-13,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210713T081012_20210715T014149,2021-07-13,34.181977,-118.363036,,"{""type"":""MultiPoint"",""coordinates"":[]}"
